City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pacific grove,36.6177,-121.9166,25.01,82,40,3.13,US,1717449271
1,alice springs,-23.7,133.8833,10.75,100,27,3.09,AU,1717449271
2,jalai nur,49.45,117.7,13.5,70,17,2.26,CN,1717449272
3,adamstown,-25.066,-130.1015,21.26,82,100,2.72,PN,1717449272
4,bredasdorp,-34.5322,20.0403,14.56,77,100,4.7,ZA,1717449272
5,maceio,-9.6658,-35.7353,26.69,83,20,2.06,BR,1717449033
6,anadyr,64.75,177.4833,9.28,57,0,5.0,RU,1717449272
7,hithadhoo,-0.6,73.0833,28.62,73,83,3.85,MV,1717449272
8,happy valley-goose bay,53.3168,-60.3315,22.17,68,75,4.63,CA,1717449272
9,eseka,3.65,10.7667,23.46,100,94,1.36,CM,1717449273
10,hermanus,-34.4187,19.2345,14.89,86,100,6.01,ZA,1717449273
11,berezovyy,51.6667,135.7,7.82,84,67,0.63,RU,1717449273
12,badger,64.8,-147.5333,18.53,47,100,0.0,US,1717449273
13,vershino-darasunskiy,52.35,115.5167,10.25,78,98,0.62,RU,1717449273
14,dwarka,22.2394,68.9678,28.41,76,26,4.97,IN,1717449273
15,jamestown,42.097,-79.2353,24.8,57,0,2.57,US,1717448992
16,papatowai,-46.5619,169.4708,7.11,66,33,1.21,NZ,1717449273
17,edinburgh of the seven seas,-37.0676,-12.3116,11.98,58,39,1.96,SH,1717449274
18,mitchell,43.7094,-98.0298,29.85,45,0,5.81,US,1717449200
19,margaret river,-33.95,115.0667,16.0,82,62,1.22,AU,1717449274
20,longyearbyen,78.2186,15.6401,5.91,81,75,7.72,SJ,1717449267
21,puerto natales,-51.7236,-72.4875,-0.16,92,100,1.16,CL,1717449274
22,mount pearl,47.5166,-52.7813,9.69,98,100,4.12,CA,1717449274
23,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,75,0,1.34,RU,1717449275
24,punta arenas,-53.15,-70.9167,2.06,87,0,3.6,CL,1717449191
25,mejit,10.2753,170.8646,27.92,81,100,9.52,MH,1717449275
26,guerrero negro,27.9769,-114.0611,19.96,60,4,8.66,MX,1717449275
27,bilibino,68.0546,166.4372,10.52,39,72,4.16,RU,1717449275
28,invercargill,-46.4,168.35,3.5,78,71,1.41,NZ,1717449275
29,ushuaia,-54.8,-68.3,3.81,75,20,4.63,AR,1717449236
30,tual,-5.6667,132.75,26.33,85,99,4.63,ID,1717449250
31,albany,42.6001,-73.9662,29.83,33,86,0.45,US,1717449176
32,korla,41.7597,86.1469,22.26,20,32,6.33,CN,1717449275
33,blackmans bay,-43.0167,147.3167,9.18,96,0,0.45,AU,1717449276
34,muroto-misakicho,33.2833,134.15,18.9,70,0,1.26,JP,1717449210
35,ulladulla,-35.35,150.4667,7.48,81,43,2.9,AU,1717449276
36,brookings,44.3114,-96.7984,28.19,46,0,1.54,US,1717449121
37,road town,18.4167,-64.6167,31.02,70,20,4.12,VG,1717449047
38,fortuna,40.5982,-124.1573,18.29,87,100,4.63,US,1717449276
